 
 
Err?=(none)/Reinst-required (Status,Err:
libngtcp2-16:amd64 1.11.0-1+deb13u1
libngtcp2-crypto-gnutls8:amd64 1.11.0-1+deb13u1
libnss-systemd:amd64 257.13-1~deb13u1
libonig5:amd64 6.9.9-1+b1
libp11-kit0:amd64 0.25.5-3
libpam-cap:amd64 1:2.75-10+deb13u1+b1
libpam-modules-bin 1.7.0-5
libpam-modules:amd64 1.7.0-5
libpam-runtime 1.7.0-5
libpam-systemd:amd64 257.13-1~deb13u1
libpam0g:amd64 1.7.0-5
libpcre2-8-0:amd64 10.46-1~deb13u1
libperl5.40:amd64 5.40.1-6
libpolkit-agent-1-0:amd64 126-2
libpolkit-gobject-1-0:amd64 126-2
libproc2-0:amd64 2:4.0.4-9
libpsl5t64:amd64 0.21.2-1.1+b1
libpython3-dev:amd64 3.13.5-1
libpython3-stdlib:amd64 3.13.5-1
libpython3.13-dev:amd64 3.13.5-2+deb13u4
libpython3.13-minimal:amd64 3.13.5-2+deb13u4
libpython3.13-stdlib:amd64 3.13.5-2+deb13u4
libpython3.13:amd64 3.13.5-2+deb13u4
libquadmath0:amd64 14.2.0-19
libreadline8t64:amd64 8.2-6
librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b5
libsasl2-2:amd64 2.1.28+dfsg1-9
libsasl2-modules-db:amd64 2.1.28+dfsg1-9
libsasl2-modules:amd64 2.1.28+dfsg1-9
libseccomp2:amd64 2.6.0-2
libselinux1:amd64 3.8.1-1
libsemanage-common 3.8.1-1
libsemanage2:amd64 3.8.1-1
libsepol2:amd64 3.8.1-1
libsframe1:amd64 2.44-3
libsmartcols1:amd64 2.41-5
libsodium23:amd64 1.0.18-1+deb13u1
libsqlite3-0:amd64 3.46.1-7+deb13u1
libssh2-1t64:amd64 1.11.1-1+deb13u1
libssl3t64:amd64 3.5.6-1~deb13u2
libstdc++-14-dev:amd64 14.2.0-19
libstdc++6:amd64 14.2.0-19
libsystemd-shared:amd64 257.13-1~deb13u1
libsystemd0:amd64 257.13-1~deb13u1
libtasn1-6:amd64 4.20.0-2+deb13u1
libtinfo6:amd64 6.5+20250216-2
libtirpc-common 1.3.6+ds-1
libtirpc3t64:amd64 1.3.6+ds-1
libtsan2:amd64 14.2.0-19
libubsan1:amd64 14.2.0-19
libudev1:amd64 257.13-1~deb13u1
libunistring5:amd64 1.3-2
libuuid1:amd64 2.41-5
libx11-6:amd64 2:1.8.12-1
libx11-data 2:1.8.12-1
libxau6:amd64 1:1.0.11-1
libxcb1:amd64 1.17.0-2+b1
libxdmcp6:amd64 1:1.1.5-1
libxext6:amd64 2:1.3.4-1+b3
libxml2:amd64 2.12.7+dfsg+really2.9.14-2.1+deb13u3
libxmuu1:amd64 2:1.1.3-3+b4
libxtables12:amd64 1.8.11-2
libxxhash0:amd64 0.8.3-2
libzstd1:amd64 1.5.7+dfsg-1
linux-libc-dev 6.12.100-1
linux-sysctl-defaults 4.12.1
locales 2.41-12+deb13u3
login 1:4.16.0-2+really2.41-5
login.defs 1:4.17.4-2
make 4.4.1-2
manpages 6.9.1-1
manpages-dev 6.9.1-1
mawk 1.3.4.20250131-1
media-types 13.0.0
mount 2.41-5
ncurses-base 6.5+20250216-2
ncurses-bin 6.5+20250216-2
net-tools 2.10-1.3
netbase 6.5
openssh-client 1:10.0p1-7+deb13u4
openssl 3.5.6-1~deb13u2
openssl-provider-legacy 3.5.6-1~deb13u2
passwd 1:4.17.4-2
patch 2.8-2
perl 5.40.1-6
perl-base 5.40.1-6
perl-modules-5.40 5.40.1-6
pkexec 126-2
polkitd 126-2
procps 2:4.0.4-9
psmisc 23.7-2
publicsuffix 20250328.1952-0.1
python3 3.13.5-1
python3-dev 3.13.5-1
python3-minimal 3.13.5-1
python3-packaging 25.0-1
python3-pip 25.1.1+dfsg-1
python3-pip-whl 25.1.1+dfsg-1
python3-setuptools-whl 78.1.1-0.1
python3-venv 3.13.5-1
python3-wheel 0.46.1-2
python3.13 3.13.5-2+deb13u4
python3.13-dev 3.13.5-2+deb13u4
python3.13-minimal 3.13.5-2+deb13u4
python3.13-venv 3.13.5-2+deb13u4
readline-common 8.2-6
rpcsvc-proto 1.4.3-1
sed 4.9-2+deb13u1
sgml-base 1.31+nmu1
shared-mime-info 2.4-5+b2
sq 1.3.1-2+b2
sqv 1.3.0-3+b2
sudo 1.9.16p2-3+deb13u2
systemd 257.13-1~deb13u1
systemd-resolved 257.13-1~deb13u1
systemd-sysv 257.13-1~deb13u1
sysvinit-utils 3.14-4
tar 1.35+dfsg-3.1
tzdata 2026b-0+deb13u1
udev 257.13-1~deb13u1
util-linux 2.41-5
vim 2:9.1.1230-2
vim-common 2:9.1.1230-2
vim-runtime 2:9.1.1230-2
xauth 1:1.1.2-1.1
xdg-user-dirs 0.18-2
xml-core 0.19
xxd 2:9.1.1230-2
xz-utils 5.8.1-1+deb13u1
zlib1g-dev:amd64 1:1.3.dfsg+really1.3.1-1+b1
zlib1g:amd64 1:1.3.dfsg+really1.3.1-1+b1
